nodeID|nodetitle|field_deptf_seine|OldNum
34475|52-26||
34477|50-27|25J|
34478|51-27|25O|
34479|52-27||
34480|50-28||
34481|51-28||
34482|12-29|18Q|
34483|12-30|18V|
34485|12-31|27B|
34486|49-31|34D|
34487|50-31|34E|
34489|12-32|27G|
34490|50-32|34J|
34491|11-33|27K|
34492|12-33|27L|
34235|27-14|3Q|
34457|27-15|3V|
34458|53-22||
34459|54-22||
34460|52-23||
34461|53-23||
34463|55-23||
34465|57-23||
34467|53-24||
34468|56-24||
34469|57-24||
34470|51-25||
34471|52-25||
34472|53-25||
34474|51-26||
34495|11-34|27P|
34503|10-35|26Y|
34497|25-34|29T|14
34498|26-34|30P|15
34499|36-34|32P|
34500|48-34|34R|
34501|49-34|34S|
34502|50-34|34T|
34504|11-35|27U|
34505|14-35|27X|
34506|25-35|29Y|26
34507|26-35|30U|27
34508|27-35|30V|28
34509|35-35|31Y|
34510|36-35|32U|
34511|37-35|32V|
34512|38-35|32W|
34513|39-35|32X|
34514|40-35|32Y|
34515|48-35|34W|
34516|49-35|34X|
34517|51-35||
34518|9-36|35D|
34519|25-36|38E|39
34520|26-36|39A|40
34521|27-36|39B|41
34522|28-36|39C|42
34496|12-34|27Q|
34524|32-36|40B|46
34525|33-36|40C|47
34526|35-36|40E|
34527|36-36|41A|
34528|37-36|41B|
34566|42-43-39|42Q-R|
34530|39-36|41D|
34531|40-36|41E|
34532|41-36|42A|
34533|50-36|43E|
34534|51-36||
34535|52-36||
34537|26-37|39F|53
34538|27-37|39G|54
34539|28-37|39H|55
34540|29-37|39I|56
34541|30-37|39J|57
34542|31-37|40F|58
34543|35-37|40J|
34544|46-37|43F|
34545|47-37|43G|
34546|50-37|43J|
34547|51-37||
34548|52-37||
34549|53-37||
34550|10-38|35O|
34551|11-38|36K|
34552|29-38|39N|71
34553|30-38|39O|72
34554|31-38|40K|73
34555|34-38-35|40M-N|76
34556|45-38|42O|
34557|46-38|43K|
34558|48-38-39|43M-R|
34559|52-38||
34560|53-38||
34561|7-39|35O|
34562|11-39|36P|
34563|19-39|37S|77
34564|30-39|39T|88
34565|31-39|40P|89
34567|44-39|42S|
34568|45-39|42T|
34529|38-36|41C|
34577|36-40-41|41U-50A|
34578|43-40|42W|
34579|46-40|43U|
34580|47-40|43V|
34581|48-40|43W|
34582|3-4-41||
34583|5-41||
34584|10-41|44E|
34585|11-41|45A|
34586|18-41|46C|110
34587|19-41|46D|111
34588|20-41|46E|112
34589|21-41|47A|113
34590|32-41-33|49B-C|124-125
34591|34-41-42|49D-I|126-144
34592|36-41-42|50A-F|
34593|46-41|52A|
34594|47-41|52B|
34595|4-42||
34620|24-46|55D|207
34597|18-42|46H|128
34598|19-42|46I|129
34599|20-42|46J|130
34600|32-42|49G|142
34601|33-42|49H|143
34602|36-42-43|50F-N|
34603|37-42|50G|
34604|18-43|46M|146
34605|19-43|46N|147
34606|32-43|49L|160
34607|33-43|49M|161
34608|34-43|49N|162
34609|37-43|50L|
34610|39-43-44|50N-S|
34611|40-43|50O|
34612|8-44|44S|
34613|18-44|46R|164
34614|19-44|46S|165
34615|33-44|49S|179
34616|39-44-45|50S-X|
34617|40-44|50T|
34623|41-46-42|59A-B|
34619|41-45-42|51U-V|
34621|25-46|55E|208
34622|26-46|56A|209
34618|41-45-42_Encart|51U|
34624|10-47||
34625|11-47|53F|
34596|11-42|45F|
34626|23-47|55H|225
34648|24-49|55S|264
34637|25-48|55O|246
34638|26-48|56K|247
34630|27-47|56G|229
34631|28-47|56H|230
34632|10-48||
34633|11-48|53K|
34660|22-50|55V|278
34635|23-48|55M|244
34650|26-49|56P|266
34639|27-48|56L|248
34640|28-48|56M|249
34641|32-48|57L|
34642|34-48-49|57N-S|
34643|10-49||
34644|11-49|53P|
34645|21-49|55P|261
34646|22-49|55Q|262
34647|23-49|55R|263
34662|24-50|55X|280
34628|25-47|55J|227
34629|26-47|56F|228
34651|27-49|56Q|267
34652|28-49|56R|268
34653|29-49|56S|269
34654|32-49|57Q|272
34655|33-48-49|57M-R|273
34656|34-49-50|57S-X|274
34657|35-49-50|57T-Y|
34658|20-50|54Y|276
34659|21-50|55U|277
34661|23-50|55W|279
34627|24-47|55I|226
34649|25-49|55T|265
34664|26-50|56U|282
34665|27-50|56V|283
34666|28-50|56W|284
34667|29-50|56X|285
34668|32-50|57V|288
34670|20-51|62E|291
34671|21-51|63A|292
34634|22-48|55L|243
34672|22-51|63B|293
34673|23-51|63C|294
34674|24-51|63D|295
34676|26-51|64A|297
34678|28-51|64C|299
34669|8-9-51-52||
34680|30-51|64E|301
34681|33-51-34|65C-D|304
34682|36-51|66A|
34683|10-52||
34684|12-52|61G|
34728|23-54|63R|
34686|21-52|63F|305
34687|22-52|63G|306
34688|23-52|63H|307
34729|24-54|63S|324
34707|25-53|63O|318
34708|26-53|64K|319
34711|29-53|64N|322
34693|28-52|64H|312
34695|30-52|64J|314
34696|34-52|65I|
34697|36-52|66F|
34685|20-52|62J|
34699|10-53||
34700|11-53|61K|
34701|12-53|61L|
34702|20-53|62O|
34703|21-53|63K|
34704|22-53|63L|315
34705|23-53|63M|316
34706|24-53|63N|317
34730|25-54|63T|325
34692|27-52|64G|311
34709|27-53|64L|320
34710|28-53|64M|321
34712|30-53|64O|323
34713|34-53|65N|
34714|35-53|65O|
34715|36-53|66K|
34717|9-54||
34698|9-53||
34718|10-54||
34719|12-54-55|61Q-V|
34720|13-54|61R|
