OldNum	Post1962	NouvNum	CentroidX	CentroidY	WKT
		0-0 	584700	146024 	MULTILINESTRING ((584400 145824,585000 145824,585000 146224,584400 146224,584400 145824))
		1-0 	585300	146024 	MULTILINESTRING ((585000 145824,585600 145824,585600 146224,585000 146224,585000 145824))
		2-0 	585900	146024 	MULTILINESTRING ((585600 145824,586200 145824,586200 146224,585600 146224,585600 145824))
		3-0 	586500	146024 	MULTILINESTRING ((586200 145824,586800 145824,586800 146224,586200 146224,586200 145824))
		4-0 	587100	146024 	MULTILINESTRING ((586800 145824,587400 145824,587400 146224,586800 146224,586800 145824))
		5-0 	587700	146024 	MULTILINESTRING ((587400 145824,588000 145824,588000 146224,587400 146224,587400 145824))
		6-0 	588300	146024 	MULTILINESTRING ((588000 145824,588600 145824,588600 146224,588000 146224,588000 145824))
		7-0 	588900	146024 	MULTILINESTRING ((588600 145824,589200 145824,589200 146224,588600 146224,588600 145824))
		8-0 	589500	146024 	MULTILINESTRING ((589200 145824,589800 145824,589800 146224,589200 146224,589200 145824))
		9-0 	590100	146024 	MULTILINESTRING ((589800 145824,590400 145824,590400 146224,589800 146224,589800 145824))
		10-0 	590700	146024 	MULTILINESTRING ((590400 145824,591000 145824,591000 146224,590400 146224,590400 145824))
		11-0 	591300	146024 	MULTILINESTRING ((591000 145824,591600 145824,591600 146224,591000 146224,591000 145824))
		12-0 	591900	146024 	MULTILINESTRING ((591600 145824,592200 145824,592200 146224,591600 146224,591600 145824))
		13-0 	592500	146024 	MULTILINESTRING ((592200 145824,592800 145824,592800 146224,592200 146224,592200 145824))
		14-0 	593100	146024 	MULTILINESTRING ((592800 145824,593400 145824,593400 146224,592800 146224,592800 145824))
		15-0 	593700	146024 	MULTILINESTRING ((593400 145824,594000 145824,594000 146224,593400 146224,593400 145824))
		16-0 	594300	146024 	MULTILINESTRING ((594000 145824,594600 145824,594600 146224,594000 146224,594000 145824))
		17-0 	594900	146024 	MULTILINESTRING ((594600 145824,595200 145824,595200 146224,594600 146224,594600 145824))
		18-0 	595500	146024 	MULTILINESTRING ((595200 145824,595800 145824,595800 146224,595200 146224,595200 145824))
		19-0 	596100	146024 	MULTILINESTRING ((595800 145824,596400 145824,596400 146224,595800 146224,595800 145824))
		20-0 	596700	146024 	MULTILINESTRING ((596400 145824,597000 145824,597000 146224,596400 146224,596400 145824))
		21-0 	597300	146024 	MULTILINESTRING ((597000 145824,597600 145824,597600 146224,597000 146224,597000 145824))
